BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	LIB_ID	COMP_ID	PLATFORM	RI	MASS	CAS	KEGG	                              Group   HMDB_ID	LT2_1	LT2_2	LT2_3	LT2_4	LT2_5	LT2_6	LT2_7	MYC_1	MYC_2	MYC_3	MYC_4	MYC_5	MYC_6	MYC_7	RAS_1	RAS_2	RAS_3	RAS_4	RAS_5	RAS_6	RAS_7	MYC.RAS_1	MYC.RAS_2	MYC.RAS_3	MYC.RAS_4	MYC.RAS_5	MYC.RAS_6	MYC.RAS_7	MYC.RAS_8	MYC.RAS_9
1-methylimidazoleacetate	Amino acid	Histidine metabolism	200	32350	LC/MS	845	141.1	2625-49-2 ;	C05828	HMDB02820	"23,862"		"18,676"	"40,970"	"32,465"	"36,070"			"22,387"	"23,262"	"15,539"			"21,803"	"467,151"	"466,699"		"216,347"		"23,995"		"15,286"	"16,455"	"33,467"	"47,041"	"34,722"				
1-myristoylglycerophosphocholine	Lipid	Lysolipid	200	35626	LC/MS	5481	468.3	20559-16-4;		HMDB10379	"139,616"	"145,471"	"63,548"	"63,726"	"25,669"		"62,531"	"103,913"	"94,304"	"158,197"	"60,862"	"111,968"	"44,503"	"48,546"	"69,380"	"60,943"		"82,512"	"120,957"	"65,562"	"55,996"	"105,670"	"84,663"		"69,758"		"56,462"	"98,281"	"114,825"	"66,170"
1-octadecanol	Lipid	"Fatty alcohol, long chain"	50	21128	GC/MS	1957.7	327.3	112-92-5;	D01924	HMDB02350	"128,944"	"126,464"	"147,148"	"174,696"	"190,217"	"173,100"	"172,944"	"171,363"	"85,765"	"179,497"	"128,846"	"155,036"	"184,930"	"204,166"	"130,506"	"147,155"	"68,461"	"103,360"	"122,388"	"155,244"	"133,269"	"179,667"	"208,420"	"138,413"	"194,492"	"193,292"	"159,761"	"142,982"	"124,509"	"178,615"
1-oleoylglycerol (1-monoolein)	Lipid	Monoacylglycerol	50	21184	GC/MS	2181.2	397.4	111-03-5;		HMDB11567	"124,421"	"42,444"	"155,298"	"224,582"	"168,679"	"192,554"	"156,354"	"148,904"	"133,499"	"214,016"	"223,357"	"208,567"	"222,310"	"214,733"	"122,614"	"47,761"	"51,267"	"19,465"	"60,266"	"98,810"	"78,700"	"159,827"	"165,317"	"151,786"	"311,417"	"185,513"	"133,564"	"98,118"	"136,572"	"196,833"
1-oleoylglycerophosphocholine	Lipid	Lysolipid	200	33960	LC/MS	5700	522.4	19420-56-5;	C03916	HMDB02815	"1,533,051"	"994,491"	"697,057"	"2,990,564"	"504,828"	"490,613"	"477,253"	"3,811,659"	"1,189,037"	"1,808,605"	"615,057"	"1,775,143"	"511,304"	"1,084,011"	"379,408"	"644,351"	"1,270,411"	"973,551"	"2,255,718"	"740,280"	"308,380"	"2,193,517"	"2,160,296"	"601,791"	"2,385,208"	"229,306"	"843,268"	"1,012,359"	"4,079,374"	"1,188,534"
1-oleoylglycerophosphoethanolamine	Lipid	Lysolipid	201	35628	LC/MS	5928	478.3			HMDB11506	"551,555"	"555,796"	"665,862"	"738,439"	"850,590"	"746,097"	"898,800"	"1,234,152"	"1,072,374"	"1,131,731"	"851,565"	"1,275,696"	"972,101"	"497,071"	"91,161"	"165,576"	"98,995"	"372,740"	"172,537"	"360,670"	"226,477"	"670,452"	"817,684"	"287,974"	"931,386"	"482,828"	"475,669"	"817,562"	"428,132"	"1,036,815"
1-oleoylglycerophosphoinositol*	Lipid	Lysolipid	201	36602	LC/MS	5577	597.4				"137,890"	"129,822"	"90,121"	"152,704"	"96,039"	"71,192"	"179,163"	"478,200"	"166,706"	"475,393"	"268,916"	"351,661"	"156,541"	"142,341"	"27,348"	"62,192"		"90,652"	"108,697"			"90,166"		"82,717"	"200,467"	"115,891"	"58,636"	"56,703"	"91,494"	"136,236"
1-palmitoleoylglycerophosphocholine*	Lipid	Lysolipid	200	33230	LC/MS	5524	494.3				"373,172"	"613,038"	"538,665"	"539,238"	"280,989"	"131,992"	"201,588"	"509,600"	"376,769"	"445,960"	"297,697"	"624,792"	"130,362"	"268,050"	"136,580"	"162,268"	"247,514"	"212,348"	"454,251"	"185,509"	"107,318"	"586,319"	"310,382"	"368,123"	"372,606"	"99,146"	"142,618"	"294,681"	"390,695"	"440,032"
1-palmitoylglycerol (1-monopalmitin)	Lipid	Monoacylglycerol	50	21127	GC/MS	2119.5	371.3	542-44-9;			"978,919"	"615,688"	"996,021"	"1,104,174"	"995,382"	"729,497"	"735,175"	"377,935"	"411,739"	"490,098"	"389,999"	"439,054"	"606,320"	"825,587"	"411,300"	"330,969"	"329,106"	"273,732"	"343,976"	"485,919"	"391,823"	"771,740"	"778,546"	"889,551"	"748,847"	"817,662"	"869,816"	"416,784"	"434,599"	"791,239"
1-palmitoylglycerophosphocholine	Lipid	Lysolipid	200	33955	LC/MS	5671	496.4	17364-16-8;	C04102		"8,982,207"	"5,323,041"	"5,008,641"	"12,370,432"	"3,010,317"	"2,081,481"	"1,629,626"	"10,116,771"	"7,284,269"	"2,257,097"	"1,656,725"	"4,278,226"	"2,644,455"	"6,552,410"	"4,823,542"	"4,642,752"	"8,980,395"	"3,497,097"	"10,379,824"	"4,193,556"	"2,387,607"	"12,722,842"	"12,190,003"	"5,173,647"	"8,754,916"	"1,556,254"	"6,615,276"	"4,657,393"	"13,194,420"	"4,920,106"
1-palmitoylglycerophosphoethanolamine	Lipid	Lysolipid	201	35631	LC/MS	5940	452.3			HMDB11503	"943,177"	"858,248"	"1,247,167"	"962,336"	"1,030,282"	"1,007,790"	"737,487"	"768,541"	"1,434,255"	"534,258"	"660,707"	"973,067"	"879,085"	"429,144"	"371,016"	"553,352"	"518,889"	"1,234,155"	"293,436"	"1,461,579"	"982,126"	"1,212,399"	"1,752,370"	"758,800"	"1,109,269"	"1,366,190"	"1,221,193"	"1,591,042"	"935,858"	"2,150,837"
1-palmitoylglycerophosphoinositol*	Lipid	Lysolipid	201	35305	LC/MS	5573	571.3				"481,031"	"587,404"	"383,750"	"408,925"	"269,835"	"177,775"	"301,783"	"189,890"	"118,683"	"129,843"	"107,310"	"101,296"	"84,312"	"108,676"	"91,929"	"116,417"	"122,895"	"186,905"	"222,160"	"68,693"	"66,172"	"287,349"	"108,364"	"263,196"	"143,569"	"310,162"	"149,503"	"184,371"	"172,343"	"196,820"
1-stearoylglycerol (1-monostearin)	Lipid	Monoacylglycerol	50	21188	GC/MS	2186.6001	399.4	123-94-4;	D01947		"1,052,023"	"764,305"	"1,071,494"	"1,244,097"	"943,187"	"912,444"	"883,632"	"322,624"	"478,230"	"504,980"	"456,036"	"574,182"	"496,147"	"737,369"	"431,748"	"458,166"	"522,431"	"320,779"	"435,559"	"546,656"	"423,285"	"607,089"	"790,651"	"992,223"	"745,512"	"1,130,567"	"740,170"	"479,495"	"545,313"	"975,779"
1-stearoylglycerophosphocholine	Lipid	Lysolipid	200	33961	LC/MS	5844	524.4	19420-57-6;			"3,348,168"	"8,297,064"	"7,404,866"	"5,323,556"	"4,063,203"	"2,464,081"	"5,037,423"	"5,300,769"	"5,205,169"	"6,093,669"	"3,763,025"	"7,339,307"	"370,049"	"685,081"	"7,448,264"	"11,401,327"	"10,469,768"	"9,736,198"	"5,777,646"	"7,755,220"	"6,383,945"	"13,162,539"	"8,410,638"	"9,116,874"	"8,020,640"	"2,739,192"	"2,775,420"	"8,473,829"	"13,690,267"	"10,676,835"
1-stearoylglycerophosphoethanolamine	Lipid	Lysolipid	200	34416	LC/MS	5842	482.3	69747-55-3;		HMDB11130	"402,716"	"1,017,430"	"1,332,155"	"764,469"	"681,149"	"222,073"	"560,565"	"1,010,476"	"1,103,802"	"1,248,391"	"873,152"	"1,690,875"	"68,730"	"193,235"	"456,811"	"934,568"	"718,327"	"1,060,773"	"307,797"	"538,733"	"425,672"	"2,034,057"	"1,010,526"	"1,056,020"	"1,147,061"	"401,127"	"598,738"	"1,376,797"	"1,235,516"	"1,797,781"
1-stearoylglycerophosphoinositol	Lipid	Lysolipid	201	19324	LC/MS	5800	599.4				"3,946,341"	"5,279,461"	"3,753,398"	"3,788,675"	"2,704,309"	"3,823,659"	"4,514,450"	"3,245,956"	"3,050,874"	"3,429,726"	"1,773,057"	"3,049,815"	"1,591,721"	"1,772,447"	"826,533"	"2,202,891"	"1,437,246"	"1,845,974"	"1,878,124"	"999,676"	"1,118,919"	"4,352,311"	"1,771,787"	"3,445,616"	"1,896,674"	"5,051,432"	"2,468,834"	"3,005,373"	"2,259,916"	"3,748,345"
10-heptadecenoate (17:1n7)	Lipid	Long chain fatty acid	201	33971	LC/MS	5558	267.3	29743-97-3;			"617,908"	"483,496"	"926,867"	"785,502"	"1,249,010"	"1,331,239"	"1,397,257"	"670,677"	"948,026"	"834,845"	"766,619"	"808,066"	"678,821"	"599,487"	"445,412"	"454,367"	"553,169"	"452,672"	"450,512"	"602,076"	"590,250"	"912,193"	"705,463"	"882,241"	"631,541"	"1,317,406"	"946,903"	"666,826"	"903,218"	"1,008,414"
10-nonadecenoate (19:1n9)	Lipid	Long chain fatty acid	201	33972	LC/MS	5775	295.4	73033-09-7;			"187,781"	"227,751"	"377,455"	"306,886"	"335,459"	"350,577"	"470,250"	"310,989"	"468,179"	"456,742"	"357,313"	"490,868"	"354,891"	"283,166"	"273,880"	"301,315"	"185,781"	"234,520"	"137,393"	"355,507"	"381,486"	"617,256"	"357,458"	"329,799"	"681,618"	"621,562"	"579,250"	"335,322"	"512,968"	"924,255"
12-dehydrocholate	Lipid	Bile acid metabolism	201	31887	LC/MS	4866	405.4	2458-08-4;2458-08-4 ;		HMDB00400	"283,502"	"551,939"	"333,411"	"145,299"	"47,566"	"34,595"	"19,740"		"44,410"							"67,008"	"21,067"	"23,163"		"22,413"		"103,473"	"253,424"	"308,520"		"114,546"	"235,794"	"224,372"		"24,715"
13-HODE + 9-HODE	Lipid	"Fatty acid, monohydroxy"	201	37752	LC/MS	5247	295.2				"1,576,559"	"1,290,832"	"2,267,675"	"1,696,375"	"1,587,152"	"2,839,658"	"1,804,660"	"2,313,177"	"2,284,704"	"1,879,010"	"1,807,616"	"2,686,971"	"1,564,880"	"1,448,991"	"1,245,242"	"769,022"	"1,376,767"	"629,163"	"691,112"	"294,968"	"692,571"	"3,540,528"	"1,691,803"	"3,335,524"	"1,261,367"	"3,431,634"	"1,333,387"	"1,036,658"	"2,592,272"	"4,329,074"
15-HETE	Lipid	"Fatty acid, monohydroxy"	201	37538	LC/MS	5271	319.3	54845-95-3;	C04742	HMDB02110	"299,471"	"274,824"	"575,326"	"671,343"	"302,352"	"644,310"	"145,729"	"694,224"	"272,481"	"347,737"	"540,496"		"430,697"	"352,491"	"59,654"	"435,288"		"92,006"	"181,693"		"212,435"	"647,368"		"219,603"	"115,382"				"121,806"	"332,489"
2'-deoxycytidine	Nucleotide	"Pyrimidine metabolism, cytidine containing"	200	15949	LC/MS	1256	228	951-77-9;	C00881	HMDB00014	"26,211"				"32,355"		"25,251"	"380,002"	"254,067"	"230,296"	"304,832"	"169,987"	"265,050"	"354,590"	"47,252"	"38,998"	"42,991"	"56,409"	"77,472"	"52,416"	"77,359"	"80,988"	"100,023"	"54,088"	"202,864"	"96,843"	"54,337"	"58,458"		"87,758"
2'-deoxyguanosine	Nucleotide	"Purine metabolism, guanine containing"	200	1411	LC/MS	1728	268	961-07-9;	C00330	HMDB00085	"18,666"	"22,367"		"16,164"	"28,964"	"24,534"		"34,544"	"59,503"	"39,824"	"75,009"		"62,126"	"65,669"			"23,284"				"25,494"	"30,501"	"28,757"		"102,450"	"35,225"		"31,631"	"40,281"	"33,649"
2'-deoxyinosine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	201	15076	LC/MS	1700	251.1	890-38-0;	C05512	HMDB00071								"53,561"	"44,551"	"51,092"	"53,208"	"42,886"	"37,941"	"35,471"									"17,964"		"66,251"		"20,757"	"29,131"	"22,064"	"24,429"
"2,3-diphosphoglycerate"	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	201	15664	LC/MS	580	264.9	102783-53-9;	C01159	HMDB01294																				"19,951"	"24,033"								"25,607"	
2-aminoadipate	Amino acid	Lysine metabolism	50	6146	GC/MS	1686.5	260.1	542-32-5;1118-90-7;	C00956	HMDB00510	"148,106"	"52,285"	"37,512"	"75,294"	"149,242"	"97,738"	"39,188"	"111,056"	"134,486"	"120,860"	"123,420"	"47,273"	"169,966"	"178,627"	"22,342"	"30,531"		"40,506"	"77,028"	"46,992"	"39,018"	"69,226"	"81,767"	"55,247"	"119,638"	"57,650"	"93,274"	"62,347"	"76,605"	"117,643"
2-aminobutyrate	Amino acid	Butanoate metabolism	50	1577	GC/MS	1215.7	130	1492-24-6;	C02261	HMDB00650	"1,362,263"	"1,004,479"	"809,004"	"766,589"	"1,120,584"	"707,380"	"795,091"	"1,830,974"	"4,602,814"	"3,105,949"	"2,088,674"	"2,562,910"	"2,479,943"	"5,907,176"	"997,957"	"1,596,390"	"3,821,831"	"536,654"	"507,419"	"1,644,807"	"1,606,474"	"11,040,857"	"3,397,748"	"1,362,936"	"1,438,908"	"1,573,753"	"4,899,919"	"3,191,317"	"8,685,663"	"9,715,685"
2-arachidonoylglycerophosphocholine*	Lipid	Lysolipid	200	35256	LC/MS	5524	544.3				"2,282,979"	"2,643,708"	"2,621,621"	"1,968,566"	"1,575,243"	"1,102,903"	"1,362,454"	"669,523"	"1,043,932"	"947,952"	"615,518"	"930,017"	"262,363"	"477,847"	"612,575"	"499,818"	"1,068,982"	"1,618,717"	"1,073,115"	"2,677,480"	"1,250,234"	"3,483,532"	"2,747,230"	"2,303,310"	"2,313,166"	"725,106"	"1,544,313"	"3,029,713"	"1,345,443"	"1,708,698"
2-arachidonoylglycerophosphoethanolamine*	Lipid	Lysolipid	201	32815	LC/MS	5674	500.3				"176,651"	"216,398"	"155,367"	"215,519"	"421,880"	"162,656"	"253,995"	"171,293"	"78,974"	"204,432"	"123,927"	"94,580"	"176,676"	"90,548"	"71,469"	"85,994"	"36,098"	"269,451"	"102,504"	"346,605"	"186,294"	"214,601"	"469,502"	"103,868"	"164,160"	"130,478"	"571,619"	"275,164"	"75,866"	"202,045"
2-deoxyribose	Carbohydrate	"Nucleotide sugars, pentose metabolism"	50	11734	GC/MS	1523.8	115.9	533-67-5;	C01801	HMDB03224	"143,520"	"333,976"	"263,800"	"313,406"	"293,671"	"257,738"	"336,282"		"69,657"			"52,898"				"61,138"			"58,887"	"92,501"		"158,915"	"219,033"	"264,282"		"187,291"	"390,761"	"129,549"		"45,095"
2-docosahexaenoylglycerophosphocholine*	Lipid	Lysolipid	200	35883	LC/MS	5507	568.3				"1,968,633"	"2,165,641"	"3,217,828"	"1,959,072"	"1,688,871"	"787,068"	"1,561,909"	"469,563"	"604,642"	"578,956"	"493,295"	"707,529"	"166,898"	"203,436"	"340,039"	"417,414"	"531,348"	"1,088,349"	"463,419"	"1,211,892"	"436,710"	"2,152,399"	"2,170,384"	"1,834,039"	"1,332,674"	"599,617"	"1,407,740"	"3,212,166"	"567,743"	"881,173"
2-docosahexaenoylglycerophosphoethanolamine*	Lipid	Lysolipid	200	34258	LC/MS	5512	526.2				"1,329,230"	"1,292,101"	"1,394,768"	"1,418,503"	"1,122,981"	"626,774"	"1,203,227"	"1,533,768"	"1,525,685"	"1,546,013"	"975,426"	"1,557,810"	"608,727"	"941,940"	"293,213"	"471,172"	"819,391"	"1,690,920"	"886,396"	"2,560,945"	"1,247,281"	"2,869,571"	"3,007,562"	"1,639,723"	"2,983,370"	"384,738"	"1,791,503"	"3,015,087"	"1,134,369"	"1,331,872"
2-eicosatrienoylglycerophosphocholine*	Lipid	Lysolipid	200	35884	LC/MS	5565	546.3				"512,721"	"515,805"	"773,106"	"647,206"	"537,586"		"546,821"	"285,822"	"489,664"	"495,000"	"222,741"	"506,934"	"248,858"	"442,773"		"147,417"	"348,280"	"283,835"	"118,123"	"420,324"	"111,038"	"2,107,266"	"1,149,573"	"507,700"	"927,876"	"236,421"	"631,021"	"1,502,739"	"623,800"	"1,065,125"
2-hydroxybutyrate (AHB)	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	50	21044	GC/MS	1169.4	130.9	3347-90-8;	C05984	HMDB00008	"951,358"	"624,933"	"265,959"	"303,160"	"471,504"	"544,555"	"494,280"	"484,332"	"744,969"	"1,160,375"	"656,196"	"967,094"	"508,457"	"866,244"	"1,171,407"	"1,139,143"	"1,258,375"	"444,654"	"303,380"	"299,694"	"308,378"	"602,291"	"449,523"	"246,838"	"986,046"	"363,827"	"292,431"	"400,251"	"576,188"	"737,809"
2-hydroxyglutarate	Lipid	"Fatty acid, dicarboxylate"	50	37253	GC/MS	1576	247	40951-21-1;	C02630	HMDB00606	"28,700"	"34,757"	"53,976"	"48,037"	"227,563"	"30,134"	"44,169"	"116,840"	"168,008"	"199,058"	"176,062"	"107,940"	"527,696"	"204,260"	"87,693"	"69,925"	"55,060"	"78,670"	"62,895"	"116,989"	"92,709"	"121,832"	"89,056"	"545,027"	"169,149"	"64,281"	"224,705"	"835,194"	"237,229"	"231,789"
2-hydroxyisobutyrate	Amino acid	"Valine, leucine and isoleucine metabolism"	50	22030	GC/MS	1107.5	130.9	594-61-6;		HMDB00729	"126,610"	"135,159"	"128,432"	"82,915"	"69,066"			"195,677"	"213,224"		"219,842"	"180,244"	"129,905"	"146,813"	"410,570"		"138,698"	"441,120"	"228,110"		"101,508"	"247,590"	"169,546"	"159,234"	"103,288"	"66,855"	"145,300"	"164,437"	"227,037"	"115,774"
2-hydroxypalmitate	Lipid	"Fatty acid, monohydroxy"	201	35675	LC/MS	5508	271.3	764-67-0;			"104,951"	"158,717"	"84,712"	"92,172"	"80,552"	"97,938"	"135,734"	"57,879"	"71,307"		"98,365"	"46,466"	"46,633"	"42,386"	"176,854"	"42,399"	"117,499"	"107,626"	"333,047"	"133,672"	"162,486"		"101,307"		"69,291"	"84,580"		"47,471"	"132,165"	"71,627"
2-linoleoylglycerophosphocholine*	Lipid	Lysolipid	200	35257	LC/MS	5544	520.4				"3,796,461"	"5,026,342"	"5,625,998"	"3,889,628"	"1,796,029"	"857,047"	"1,298,594"	"1,116,605"	"1,783,344"	"1,879,883"	"1,225,496"	"2,512,232"	"463,811"	"993,588"	"1,454,143"	"1,654,748"	"3,047,988"	"2,711,878"	"1,678,260"	"3,082,087"	"1,733,447"	"6,406,315"	"4,292,164"	"5,634,235"	"3,552,729"	"1,591,961"	"3,119,583"	"7,892,473"	"2,681,433"	"4,771,058"
2-linoleoylglycerophosphoethanolamine*	Lipid	Lysolipid	201	36593	LC/MS	5650	476.4				"57,119"		"77,462"	"69,203"	"64,185"	"41,703"		"47,796"	"41,788"	"74,519"	"41,656"	"49,679"	"70,306"							"75,617"		"57,674"	"134,237"	"86,049"		"76,988"	"222,652"	"123,501"		"111,528"
2-methylbutyroylcarnitine	Amino acid	"Valine, leucine and isoleucine metabolism"	200	35431	LC/MS	2439	246.1	31023-25-3;		HMDB00378	"223,503"	"183,677"	"125,300"	"107,346"	"182,640"	"230,280"	"246,977"	"192,787"	"403,220"	"217,241"	"176,662"	"198,832"	"106,491"	"229,185"	"113,162"	"352,947"	"131,330"	"173,462"	"206,862"	"115,860"	"145,332"	"179,073"	"179,133"	"107,653"	"487,831"	"200,219"	"152,542"	"139,277"	"79,875"	"147,841"
2-oleoylglycerol (2-monoolein)	Lipid	Monoacylglycerol	50	35848	GC/MS	2170	410.1	3443-84-3;					"12,563"	"10,217"							"9,030"	"16,905"	"18,066"	"16,105"					"9,535"	"9,311"		"15,522"			"14,869"		"12,934"			
2-oleoylglycerophosphocholine*	Lipid	Lysolipid	200	35254	LC/MS	5640	522.4				"1,087,682"	"1,041,850"	"1,245,428"	"1,268,711"	"360,290"	"63,335"	"362,043"	"776,639"	"601,473"	"740,044"	"493,754"	"1,457,359"	"383,160"	"948,447"	"305,330"		"730,135"	"359,172"	"1,011,962"	"788,916"	"369,558"	"2,060,719"	"1,645,552"	"896,999"	"1,753,302"	"325,719"	"1,383,071"	"2,721,432"	"1,067,322"	"1,436,104"
2-oleoylglycerophosphoethanolamine*	Lipid	Lysolipid	201	35687	LC/MS	5848	478.3								"42,532"	"43,573"	"41,118"	"67,402"	"112,160"	"70,009"	"45,169"	"120,577"	"176,874"	"31,484"				"41,396"		"78,579"	"78,421"	"26,330"	"71,250"		"116,334"	"15,070"	"86,405"	"135,629"		"123,231"
2-palmitoleoylglycerophosphocholine*	Lipid	Lysolipid	200	35819	LC/MS	5482	494.3				"165,055"	"165,589"	"136,501"	"159,705"				"174,693"	"124,880"	"256,413"	"91,932"	"178,309"	"53,394"	"94,362"		"31,452"	"91,191"	"69,281"	"165,725"	"89,078"	"59,220"	"175,454"	"106,281"	"189,842"	"150,623"	"47,268"	"111,870"	"364,973"	"89,304"	"177,139"
2-palmitoylglycerol (2-monopalmitin)	Lipid	Monoacylglycerol	50	33419	GC/MS	2108	129	23470-00-0;			"246,815"	"202,153"		"309,228"				"125,985"		"151,051"	"124,537"			"198,656"	"105,649"	"89,849"				"88,019"	"92,835"	"182,213"	"245,665"	"281,765"					"125,264"	
2-palmitoylglycerophosphocholine*	Lipid	Lysolipid	200	35253	LC/MS	5604	496.3				"630,196"	"452,782"	"448,259"	"483,907"	"280,548"	"78,055"	"202,095"	"726,900"	"1,131,779"	"434,385"	"329,567"	"1,226,082"	"602,627"	"1,119,431"	"646,613"	"231,674"	"1,074,631"	"192,339"	"1,777,711"	"748,987"	"464,964"	"1,932,117"	"1,497,529"	"324,908"	"1,658,837"	"132,046"	"691,985"	"909,492"	"1,659,402"	"1,292,951"
2-phosphoglycerate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	50	35629	GC/MS	1734	459.1	70195-25-4;	C00631	HMDB03391	"14,973"	"22,388"	"21,181"	"5,033"	"26,735"	"19,238"	"15,870"	"6,365"		"9,278"	"10,889"		"4,920"					"10,466"			"13,332"			"12,962"				"6,882"		
2-stearoylglycerophosphocholine*	Lipid	Lysolipid	200	35255	LC/MS	5780	524.4				"101,553"	"145,007"	"142,312"	"79,788"		"41,174"	"100,046"	"300,626"	"219,177"	"251,226"	"57,987"	"134,973"	"53,671"	"35,589"	"135,443"	"472,188"	"591,289"	"339,314"	"309,167"	"134,329"	"126,676"	"627,754"	"401,906"	"128,334"	"394,573"		"76,649"	"223,870"	"1,109,643"	"487,313"
